UF;Idade;Sexo;Cor;EstadoCivil;NotaCN;NotaCH;NotaLC;NotaMT;NotaRED;InstrPai;InstrMae;NPessoas;Renda;EscolaEM;TurnoEM
MA;20;F;PPI;Solteiro;419.3;599.4;556.2;426;360;Não Informado;D;5;2. 1 a 3 SM;Publica/Privada;B
MA;40;F;PPI;Outro;390.5;430.7;365.5;436.4;380;Não Informado;B;5;2. 1 a 3 SM;Somente Publica;C
MA;18;M;PPI;Solteiro;446.3;523.2;507.7;347.1;460;Não Informado;H;8;1. Ate 1 SM;Somente Publica;A
MA;20;F;PPI;Solteiro;474.4;574.2;533.4;410;640;Não Informado;E;4;2. 1 a 3 SM;Somente Privada;A
MA;17;M;PPI;Solteiro;458.7;515;532.6;448.7;520;Fundamental;E;3;1. Ate 1 SM;Somente Publica;A
MA;19;M;PPI;Solteiro;424;489.2;431;354;480;Fundamental;E;5;1. Ate 1 SM;Somente Publica;A
MA;19;F;PPI;Solteiro;466.4;516.5;529;408.8;640;Fundamental;C;2;2. 1 a 3 SM;Somente Publica;A
MA;47;M;Não PPI;Solteiro;491.4;716.1;706.8;528.2;800;Medio;E;2;2. 1 a 3 SM;Somente Privada;A
MA;21;F;PPI;Solteiro;489.3;479.1;511;411;760;Fundamental;C;3;2. 1 a 3 SM;Somente Publica;A
MA;17;M;Não PPI;Solteiro;361.8;439.2;435.7;384.6;260;Fundamental;D;4;1. Ate 1 SM;Somente Publica;A
MA;32;F;Não PPI;Solteiro;500.5;614.7;532.6;448.4;660;Medio;E;6;2. 1 a 3 SM;Somente Privada;A
MA;20;M;PPI;Solteiro;437.9;643.2;536.8;432.1;680;Fundamental;F;3;4. 5 a 10 SM;Somente Publica;A
MA;24;M;PPI;Solteiro;380.6;502.5;451.5;439.5;480;Fundamental;A;3;1. Ate 1 SM;Somente Publica;C
MA;19;M;PPI;Solteiro;369;419;324.8;345.4;360;Fundamental;C;5;1. Ate 1 SM;Somente Publica;C
MA;34;F;Não PPI;Solteiro;504.9;588.4;567.4;508;640;Fundamental;E;5;2. 1 a 3 SM;Somente Privada;A
MA;19;M;Não PPI;Solteiro;573.3;624.2;577.8;505.1;560;Medio;E;4;4. 5 a 10 SM;Somente Publica;A
MA;18;F;PPI;Solteiro;400.2;532.9;429.8;384.9;520;Medio;E;4;1. Ate 1 SM;Somente Publica;A
MA;31;F;PPI;Outro;388.6;597.6;494.9;433;600;Fundamental;B;3;2. 1 a 3 SM;Somente Publica;B
MA;17;M;PPI;Solteiro;427.9;548.1;505.8;460.1;520;Medio;E;3;2. 1 a 3 SM;Somente Publica;A
MA;33;F;PPI;Solteiro;440.6;512.6;411;334.1;420;Fundamental;A;4;1. Ate 1 SM;Somente Publica;C
MA;23;F;PPI;Solteiro;450.9;441;430.6;359.7;480;Fundamental;C;11;1. Ate 1 SM;Somente Publica;C
MA;18;F;PPI;Solteiro;339.9;523.2;473.9;461.9;500;Medio;F;4;2. 1 a 3 SM;Somente Publica;A
MA;18;F;PPI;Solteiro;529;563.2;487.3;439.1;520;Medio;E;4;1. Ate 1 SM;Somente Publica;A
MA;19;F;PPI;Solteiro;401.4;441.5;413.3;403;420;Fundamental;G;5;2. 1 a 3 SM;Somente Publica;A
MA;18;M;PPI;Solteiro;457.3;555.8;412.3;391.4;560;Fundamental;B;7;1. Ate 1 SM;Somente Publica;C
MA;24;M;Não PPI;Outro;596.8;661.9;569;721.8;760;Fundamental;E;3;3. 3 a 5 SM;Somente Publica;B
MA;19;F;PPI;Solteiro;410;510.2;434.6;378.6;280;Fundamental;E;5;1. Ate 1 SM;Somente Publica;A
MA;27;F;PPI;Solteiro;419.3;543.8;486;407;540;Medio;E;6;2. 1 a 3 SM;Somente Publica;A
MA;17;M;Não PPI;Solteiro;645.9;661.6;671.3;750.7;840;Superior;G;3;5. 10 ou mais;Somente Privada;A
MA;32;M;Não PPI;Solteiro;437.5;404.8;422.2;332.7;120;Fundamental;A;3;1. Ate 1 SM;Somente Publica;A
MA;19;M;Não PPI;Solteiro;458.4;527;471.1;331.7;420;Fundamental;C;5;2. 1 a 3 SM;Somente Publica;A
MA;25;F;PPI;Outro;384.7;404.9;408.8;332.6;380;Fundamental;C;2;2. 1 a 3 SM;Somente Publica;A
MA;18;M;PPI;Solteiro;443.9;533.2;428.1;438.8;600;Medio;D;8;2. 1 a 3 SM;Somente Publica;A
MA;17;M;PPI;Solteiro;401.9;521;453.5;420.6;420;Fundamental;E;4;1. Ate 1 SM;Somente Publica;A
MA;19;F;PPI;Solteiro;428.7;455.8;450.7;555.5;460;Fundamental;C;3;1. Ate 1 SM;Somente Publica;A
MA;31;F;PPI;Solteiro;460.3;473.5;520.1;409.7;0;Medio;E;4;2. 1 a 3 SM;Somente Publica;A
MA;25;F;PPI;Solteiro;380.8;466.7;391.6;423.8;400;Fundamental;C;4;1. Ate 1 SM;Somente Publica;B
MA;17;F;PPI;Solteiro;404;533.7;454;353.8;560;Fundamental;F;4;2. 1 a 3 SM;Publica/Privada;A
MA;18;M;PPI;Solteiro;358.8;475.3;358.3;355.1;420;Fundamental;C;7;1. Ate 1 SM;Somente Publica;C
MA;23;F;Não PPI;Solteiro;378.9;546.3;501.6;355.5;400;Medio;E;3;2. 1 a 3 SM;Somente Privada;A
MA;19;M;PPI;Solteiro;440;538.2;502.1;458.3;540;Fundamental;A;3;1. Ate 1 SM;Somente Publica;B
MA;18;M;PPI;Solteiro;504.7;575.9;481.9;430;600;Não Informado;H;6;2. 1 a 3 SM;Somente Publica;A
MA;37;F;Não PPI;Outro;403.8;491.2;509.6;347.3;500;Fundamental;B;3;2. 1 a 3 SM;Somente Publica;A
MA;20;M;PPI;Solteiro;476.3;555.8;533.9;439.3;420;Medio;E;3;2. 1 a 3 SM;Somente Publica;A
MA;17;M;PPI;Solteiro;424.1;446.8;439.9;489.7;480;Fundamental;D;4;2. 1 a 3 SM;Somente Publica;A
MA;26;F;Não PPI;Outro;483.9;527.6;544.2;485.5;520;Fundamental;E;5;2. 1 a 3 SM;Somente Publica;A
MA;17;F;PPI;Solteiro;421.5;451.2;412.7;535.1;520;Não Informado;E;10;1. Ate 1 SM;Somente Publica;A
MA;18;F;PPI;Solteiro;382.9;527.1;471.4;523.7;360;Fundamental;C;6;1. Ate 1 SM;Somente Publica;B
MA;53;M;PPI;Outro;389.3;576.3;545.2;530.3;480;Fundamental;B;3;1. Ate 1 SM;Somente Publica;C
MA;18;F;PPI;Solteiro;432.2;508.3;471.4;398.5;540;Medio;D;3;1. Ate 1 SM;Somente Publica;A
MA;20;F;PPI;Solteiro;446.5;522.9;508.3;340.3;500;Fundamental;C;3;1. Ate 1 SM;Somente Publica;A
MA;30;F;PPI;Solteiro;519.8;557.9;525.3;369.5;640;Medio;E;8;2. 1 a 3 SM;Somente Publica;A
MA;21;F;Não PPI;Solteiro;560.8;617;585.5;480.3;700;Fundamental;E;4;2. 1 a 3 SM;Publica/Privada;A
MA;30;F;Não PPI;Solteiro;513.9;642.6;598.1;578.1;620;Superior;E;4;2. 1 a 3 SM;Publica/Privada;A
MA;20;M;PPI;Solteiro;517.3;568.4;478.6;361.2;560;Medio;E;4;2. 1 a 3 SM;Somente Publica;A
MA;26;F;Não PPI;Outro;559.3;603.2;562.2;455.4;760;Medio;C;2;3. 3 a 5 SM;Somente Publica;A
MA;20;M;PPI;Solteiro;417.3;566.1;514.4;445.4;760;Medio;E;5;2. 1 a 3 SM;Somente Publica;A
MA;17;M;PPI;Solteiro;462.5;517;479.3;425.6;580;Fundamental;G;5;2. 1 a 3 SM;Somente Publica;A
MA;18;F;PPI;Solteiro;401.4;554.4;538.5;499.3;640;Fundamental;B;5;1. Ate 1 SM;Somente Publica;A
MA;17;M;PPI;Solteiro;398;556.8;470.5;387.3;300;Fundamental;B;4;2. 1 a 3 SM;Somente Publica;A
MA;18;F;PPI;Solteiro;369.4;453.7;394.9;341.4;440;Não Informado;H;4;1. Ate 1 SM;Somente Publica;A
MA;19;M;Não PPI;Solteiro;407.5;503.6;405;393.4;440;Medio;F;3;1. Ate 1 SM;Somente Publica;A
MA;33;F;PPI;Solteiro;550.6;597.1;483.2;373.4;520;Fundamental;C;4;2. 1 a 3 SM;Somente Publica;A
MA;22;F;PPI;Solteiro;628.3;672.5;601.3;717.2;940;Medio;E;5;2. 1 a 3 SM;Publica/Privada;A
MA;23;M;PPI;Outro;460.2;558.1;500.8;357.9;380;Fundamental;C;6;2. 1 a 3 SM;Somente Publica;C
MA;25;F;PPI;Solteiro;461.4;636.9;588.6;381.1;440;Medio;D;4;2. 1 a 3 SM;Somente Publica;A
MA;18;F;Não PPI;Solteiro;423.2;525.9;467.7;351.1;640;Medio;B;4;2. 1 a 3 SM;Somente Publica;A
MA;22;F;PPI;Solteiro;426.8;489.2;552.4;409;560;Não Informado;E;3;1. Ate 1 SM;Somente Publica;A
MA;16;F;PPI;Solteiro;521.9;558.7;537.5;407.6;600;Medio;G;4;2. 1 a 3 SM;Somente Publica;A
MA;21;M;Não PPI;Solteiro;540.5;681.2;662.5;601.5;860;Medio;E;2;4. 5 a 10 SM;Somente Privada;A
MA;31;M;Não PPI;Solteiro;485;548.6;505.5;399.8;400;Fundamental;E;4;2. 1 a 3 SM;Somente Publica;A
MA;20;M;PPI;Solteiro;422.2;643.2;573;417.9;420;Não Informado;B;4;1. Ate 1 SM;Publica/Privada;A
MA;24;F;PPI;NA;475.4;607.8;571.7;502.1;580;Fundamental;A;2;2. 1 a 3 SM;Somente Publica;A
MA;19;M;Não PPI;Solteiro;403.3;567.9;469.4;455.8;440;Não Informado;C;3;1. Ate 1 SM;Somente Publica;A
MA;20;F;PPI;Solteiro;420.6;541.7;455.4;357.3;560;Fundamental;B;3;2. 1 a 3 SM;Somente Publica;B
MA;27;F;Não PPI;Solteiro;422.8;615;585.2;506.9;520;Superior;D;3;2. 1 a 3 SM;Somente Publica;A
MA;31;F;Não PPI;Solteiro;510.3;536;566.7;333.5;520;Superior;D;3;2. 1 a 3 SM;Somente Privada;A
MA;19;F;Não PPI;Solteiro;451;538.8;564.2;538.9;560;Fundamental;D;4;2. 1 a 3 SM;Somente Publica;A
MA;25;F;Não PPI;Solteiro;380;536.3;514.2;415.6;400;Medio;E;2;2. 1 a 3 SM;Somente Publica;C
MA;25;M;PPI;Outro;490;600.5;471.9;400.2;480;Fundamental;D;2;1. Ate 1 SM;Somente Publica;A
MA;21;M;Não PPI;Solteiro;446.9;406.2;341.8;377.1;300;Medio;E;4;1. Ate 1 SM;Somente Publica;A
MA;32;F;PPI;Solteiro;533.2;562.5;533.5;406.6;520;Fundamental;F;7;1. Ate 1 SM;Somente Publica;B
MA;17;M;PPI;Solteiro;579.4;606.2;547.8;492.8;760;Medio;E;3;2. 1 a 3 SM;Somente Privada;B
MA;23;F;PPI;Solteiro;401.2;567.6;528.6;469.1;360;Fundamental;D;8;2. 1 a 3 SM;Somente Publica;A
MA;21;F;PPI;Solteiro;525.3;535.3;505.8;458.6;460;Fundamental;D;4;1. Ate 1 SM;Somente Publica;A
MA;18;M;PPI;Solteiro;401.5;588.4;462.1;415.2;480;Fundamental;C;6;2. 1 a 3 SM;Somente Publica;A
MA;23;F;Não PPI;Solteiro;434;485.4;451.5;479.8;580;Fundamental;C;5;2. 1 a 3 SM;Somente Publica;A
MA;32;F;PPI;Solteiro;501.1;597.6;518.5;411.7;580;Fundamental;B;4;1. Ate 1 SM;Somente Publica;C
MA;26;F;PPI;Solteiro;394.3;508.2;501.7;355.2;480;Não Informado;C;4;2. 1 a 3 SM;Somente Publica;B
MA;19;F;Não PPI;Solteiro;534.1;582.6;524.8;429.8;580;Fundamental;B;8;2. 1 a 3 SM;Somente Publica;A
MA;18;M;PPI;Solteiro;603.4;629.6;596;406.7;680;Fundamental;G;5;5. 10 ou mais;Somente Privada;A
MA;17;F;PPI;Solteiro;440.6;487.8;482.1;390.3;560;Fundamental;B;4;1. Ate 1 SM;Somente Publica;A
MA;32;M;Não PPI;Solteiro;469.4;600.6;495.7;460.2;640;Medio;D;3;2. 1 a 3 SM;Somente Publica;C
MA;28;M;Não PPI;NA;437.7;590.1;448.6;507.3;520;Fundamental;D;4;2. 1 a 3 SM;Somente Publica;A
MA;18;M;Não PPI;Solteiro;424.2;457.2;518.3;606.6;540;Medio;G;6;2. 1 a 3 SM;Somente Publica;A
MA;40;F;PPI;Outro;372.5;434.6;435.6;393.8;220;Fundamental;A;5;2. 1 a 3 SM;Somente Publica;B
MA;25;F;PPI;Solteiro;449.2;396;384.5;439.8;580;Fundamental;B;1;1. Ate 1 SM;Somente Publica;C
MA;18;M;PPI;Solteiro;432.4;576.6;490.7;517.9;580;Fundamental;E;4;1. Ate 1 SM;Somente Publica;A
MA;24;F;Não PPI;Solteiro;514.3;596.3;576.5;437.4;500;Fundamental;E;6;2. 1 a 3 SM;Somente Publica;A
MA;17;F;PPI;Solteiro;420.6;446.3;345.6;462.1;420;Fundamental;D;3;1. Ate 1 SM;Somente Publica;A
MA;19;M;PPI;Solteiro;444.6;485;417.9;343.6;340;Fundamental;C;8;2. 1 a 3 SM;Somente Publica;A
MA;18;M;PPI;Solteiro;435.1;571.5;455;421.1;400;Medio;E;3;2. 1 a 3 SM;Somente Publica;B
MA;26;M;PPI;Solteiro;491.3;486;336.8;395.9;360;Fundamental;A;6;1. Ate 1 SM;Somente Publica;C
MA;18;F;PPI;Solteiro;515.6;561.1;462.4;440.9;520;Fundamental;D;4;2. 1 a 3 SM;Somente Publica;A
MA;19;F;PPI;Solteiro;391.3;533.6;405.7;373.2;460;Fundamental;D;5;1. Ate 1 SM;Somente Publica;A
MA;31;F;PPI;Solteiro;515;525.9;474.4;408.7;480;Fundamental;D;1;1. Ate 1 SM;Somente Publica;B
MA;21;F;PPI;Solteiro;441.9;513.3;469.5;376.3;540;Fundamental;E;3;1. Ate 1 SM;Somente Publica;B
MA;19;M;Não PPI;Solteiro;505.1;494;363.1;407;600;Medio;E;4;4. 5 a 10 SM;Publica/Privada;A
MA;19;F;PPI;Solteiro;388;569.1;543.4;492.5;520;Medio;F;4;2. 1 a 3 SM;Publica/Privada;A
MA;19;M;PPI;Solteiro;496.5;594.5;531.7;448.1;540;Fundamental;G;5;1. Ate 1 SM;Somente Publica;A
MA;27;M;PPI;Solteiro;515.6;499.9;445.9;429.5;420;Fundamental;D;4;1. Ate 1 SM;Somente Publica;A
MA;39;F;PPI;Outro;523;622.9;604.7;416.4;720;Fundamental;B;5;2. 1 a 3 SM;Somente Publica;A
MA;41;M;PPI;Outro;453.5;411.4;316;350.1;480;Fundamental;D;2;1. Ate 1 SM;Somente Publica;C
MA;54;F;PPI;Solteiro;419.7;446.7;388.6;379.7;0;Fundamental;B;4;2. 1 a 3 SM;Somente Publica;C
MA;37;M;Não PPI;Solteiro;615.7;708.2;720.9;864.5;480;Medio;D;2;1. Ate 1 SM;Publica/Privada;A
MA;17;M;PPI;Solteiro;368.2;497.8;349.2;383.8;260;Fundamental;A;7;1. Ate 1 SM;Somente Publica;A
MA;23;M;Não Informado;Solteiro;458.9;608;515.3;403.6;640;Fundamental;E;4;2. 1 a 3 SM;Somente Publica;B
MA;33;M;PPI;Outro;544.1;568.7;424.7;381.3;500;Fundamental;C;9;2. 1 a 3 SM;Publica/Privada;C
MA;20;M;PPI;Solteiro;402.5;517.2;424.4;365.8;400;Fundamental;E;6;3. 3 a 5 SM;Somente Publica;B
MA;18;M;PPI;Solteiro;462.3;440.1;400.2;370.9;340;Fundamental;E;2;1. Ate 1 SM;Somente Publica;A
MA;21;M;PPI;Solteiro;380;455.3;413.9;364.5;220;Fundamental;B;10;1. Ate 1 SM;Somente Publica;B
MA;18;F;PPI;Solteiro;526.4;603.9;523.9;588.7;440;Fundamental;D;4;2. 1 a 3 SM;Somente Publica;A
MA;27;F;Não Informado;Solteiro;551.1;594;557.4;637.7;700;Fundamental;C;3;2. 1 a 3 SM;Somente Publica;A
MA;18;M;PPI;Solteiro;587.1;662.2;592.6;536.9;440;Não Informado;B;5;1. Ate 1 SM;Somente Publica;A
MA;54;F;PPI;Solteiro;470.5;567.4;539.1;373.9;440;Fundamental;B;3;2. 1 a 3 SM;Somente Privada;C
MA;18;M;PPI;Solteiro;455.3;369.8;308.6;333.9;340;Fundamental;B;3;1. Ate 1 SM;Somente Publica;C
MA;21;F;PPI;Solteiro;396.1;543.7;458.1;425.7;400;Fundamental;A;6;1. Ate 1 SM;Somente Publica;C
MA;24;F;PPI;Outro;446.2;525.2;481.4;361.9;500;Fundamental;D;2;1. Ate 1 SM;Somente Publica;A
MA;16;M;PPI;Solteiro;486.4;560.2;531.1;558.5;480;Medio;F;4;5. 10 ou mais;Somente Privada;A
MA;33;F;PPI;Outro;403.8;542.8;592.7;497;680;Medio;C;3;1. Ate 1 SM;Somente Publica;A
MA;22;M;PPI;Solteiro;425.9;465.2;371;464.9;480;Fundamental;E;4;1. Ate 1 SM;Somente Publica;B
MA;19;F;PPI;Solteiro;478.5;455.8;354.7;390.2;520;Medio;E;3;1. Ate 1 SM;Publica/Privada;A
MA;20;F;Não PPI;Solteiro;396;484.4;498.6;467.8;520;Fundamental;E;7;2. 1 a 3 SM;Somente Publica;A
MA;22;M;PPI;Solteiro;445.3;588.6;510.8;399;520;Medio;E;4;2. 1 a 3 SM;Somente Publica;A
MA;18;F;Não PPI;Solteiro;394.5;536.3;503.3;431.1;380;Medio;D;3;2. 1 a 3 SM;Somente Publica;A
MA;22;F;Não PPI;Solteiro;381;384;345.8;326.3;440;Fundamental;D;8;1. Ate 1 SM;Somente Publica;A
MA;41;M;PPI;Solteiro;487.6;607.8;489.8;418.5;620;Não Informado;C;7;2. 1 a 3 SM;Publica/Privada;A
MA;25;F;PPI;Solteiro;435.4;635.1;574.4;377.6;760;Fundamental;E;2;1. Ate 1 SM;Somente Publica;B
MA;22;M;PPI;Solteiro;508.9;633.2;550;576;480;Fundamental;C;2;2. 1 a 3 SM;Somente Publica;A
MA;16;M;Não PPI;Solteiro;622.6;669.5;609.8;724.2;760;Medio;G;4;4. 5 a 10 SM;Somente Privada;A
MA;18;F;PPI;Solteiro;397.9;493.3;388.6;328.5;200;Medio;F;3;2. 1 a 3 SM;Somente Publica;A
MA;33;M;PPI;NA;472;676.4;626.4;516.2;640;Fundamental;E;4;3. 3 a 5 SM;Somente Publica;A
MA;18;M;PPI;Solteiro;459.5;601.1;571.3;566.8;640;Fundamental;E;4;2. 1 a 3 SM;Somente Publica;A
MA;17;F;Não PPI;Solteiro;450.3;590;511.5;518.8;580;Superior;G;4;2. 1 a 3 SM;Somente Privada;A
MA;18;F;PPI;Solteiro;417.1;550.4;482;505.2;440;Fundamental;C;5;1. Ate 1 SM;Somente Publica;A
MA;29;M;PPI;Solteiro;367.9;449.4;434.3;429.6;540;Fundamental;D;2;2. 1 a 3 SM;Somente Publica;B
MA;18;M;PPI;Solteiro;439.9;484;407.4;412.4;320;Fundamental;C;6;1. Ate 1 SM;Somente Publica;A
MA;32;F;Não PPI;Solteiro;416.2;607.2;532.4;441.6;560;Medio;E;4;2. 1 a 3 SM;Somente Publica;A
MA;19;F;PPI;Solteiro;454;479.8;436.7;378.1;360;Fundamental;E;7;1. Ate 1 SM;Somente Publica;C
MA;21;M;PPI;Solteiro;380.1;554;412.5;511.1;440;Medio;E;4;2. 1 a 3 SM;Somente Publica;A
MA;19;F;Não PPI;Solteiro;495;541.5;479.1;465;600;Medio;E;4;1. Ate 1 SM;Somente Publica;A
MA;19;F;PPI;Solteiro;455.6;509;500;427.2;500;Fundamental;D;4;1. Ate 1 SM;Somente Publica;B
MA;18;M;PPI;Solteiro;448;415.5;508.7;377;360;Medio;E;5;2. 1 a 3 SM;Somente Publica;C
MA;22;M;Não PPI;Solteiro;570.2;594.8;560.8;417.4;540;Não Informado;H;7;2. 1 a 3 SM;Somente Publica;A
MA;18;M;PPI;Solteiro;386.3;458.6;398.2;502.9;460;Fundamental;C;6;2. 1 a 3 SM;Somente Publica;A
MA;20;F;PPI;Solteiro;448.6;541.2;473.7;378.8;480;Fundamental;D;2;2. 1 a 3 SM;Somente Publica;A
MA;19;F;PPI;Solteiro;492;516.1;424.4;437.8;380;Fundamental;G;3;2. 1 a 3 SM;Somente Publica;A
MA;18;F;PPI;Solteiro;449.5;570.4;530.6;566.6;520;Fundamental;B;3;2. 1 a 3 SM;Somente Publica;A
MA;21;F;Não PPI;Solteiro;550.3;548.1;444.7;389.4;480;Fundamental;C;5;1. Ate 1 SM;Somente Publica;A
MA;21;M;Não PPI;Solteiro;574.5;553.8;530.2;436.3;520;Fundamental;D;5;2. 1 a 3 SM;Somente Privada;A
MA;22;M;PPI;Solteiro;423.6;409.3;464.6;390.7;440;Fundamental;E;3;2. 1 a 3 SM;Somente Publica;A
MA;19;M;PPI;Solteiro;571.1;618.2;562.7;649.2;680;Fundamental;D;4;2. 1 a 3 SM;Somente Publica;A
MA;17;F;PPI;Solteiro;388.9;629.8;524.8;446;460;Não Informado;E;3;2. 1 a 3 SM;Somente Publica;A
MA;20;M;PPI;Solteiro;399.7;580.7;547.9;500.8;380;Fundamental;F;2;2. 1 a 3 SM;Somente Publica;A
MA;19;F;PPI;Solteiro;477.4;649;550.3;468.6;400;Fundamental;C;5;2. 1 a 3 SM;Somente Publica;A
MA;23;F;PPI;Solteiro;360;397.2;342.5;434.9;440;Fundamental;B;7;1. Ate 1 SM;Somente Publica;B
MA;32;F;PPI;Solteiro;487.9;554.3;449.7;386;480;Medio;E;5;1. Ate 1 SM;Somente Publica;A
MA;33;M;Não PPI;Outro;481.6;686.9;557.5;769.7;640;Fundamental;D;6;1. Ate 1 SM;Somente Publica;C
MA;18;M;PPI;Solteiro;648.3;659.6;628.7;613.4;600;Fundamental;G;3;2. 1 a 3 SM;Publica/Privada;A
MA;26;F;PPI;Solteiro;478.3;548.2;453.6;383.9;540;Medio;F;4;1. Ate 1 SM;Somente Publica;C
MA;20;M;PPI;Solteiro;585.8;602.6;553.2;439.6;560;Medio;E;1;1. Ate 1 SM;Somente Publica;A
MA;18;F;PPI;Solteiro;484.5;591.2;433.9;319.1;640;Fundamental;A;4;1. Ate 1 SM;Somente Publica;A
